floor,garage,m2,price,rooms,target,zone,prob
Bajo,0,95,299000,3,0,Camp de l'Arpa,0.37
6ª,1,180,925000,4,0,El Poblenou,0.216
Atico,1,265,2200000,4,0,Diagonal Mar,0.184
1ª,0,58,460000,1,0,El Poblenou,0.268
Bajo,0,118,499000,4,0,Camp de l'Arpa,0.256
Bajo,0,118,499000,4,0,Camp de l'Arpa,0.256
6ª,0,50,207000,2,0,El Poblenou,0.372
4ª,0,95,273000,4,0,Camp de l'Arpa,0.388
Atico,1,95,1850000,2,0,Diagonal Mar,0.414
Atico,1,116,650000,3,0,Diagonal Mar,0.39
Atico,1,180,2800000,4,0,Diagonal Mar,0.096
Atico,0,115,1530000,3,0,El Poblenou,0.196
5ª,1,131,1900000,4,0,Diagonal Mar,0.186
Bajo,0,71,390000,1,0,El Poblenou,0.308
Casa,0,201,1011700,5,0,El Poblenou,0.27
Casa,0,138,565100,4,0,El Poblenou,0.16
Casa,0,117,488000,3,0,El Poblenou,0.294
Casa,0,150,1300000,4,0,Diagonal Mar,0.104
1ª,0,168,999000,4,0,Sant Gervasi,0.222
5ª,1,124,890000,4,0,Sant Gervasi,0.332
4ª,1,180,1200000,5,0,Sant Gervasi,0.158
1ª,1,170,1095000,4,0,Sant Gervasi,0.162
Bajo,0,102,360000,2,0,Sant Gervasi,0.482
4ª,0,160,795000,4,0,Sant Gervasi,0.49
3ª,0,76,380000,2,0,Sant Gervasi,0.348
2ª,0,145,1375000,3,0,Sant Gervasi,0.024
Casa,0,115,790000,3,0,Sant Gervasi,0.254
Casa,1,160,795000,4,0,Sant Gervasi,0.39
Casa,0,110,630000,3,0,Sant Gervasi,0.352
Casa,0,218,1300000,5,0,Sant Gervasi,0.134
Casa,0,352,1900000,6,0,Sant Gervasi,0.19
Casa,0,185,1330000,4,0,Sant Gervasi,0.068
Casa,1,140,850000,3,0,Sarrià,0.436
Casa,1,215,930000,5,0,Sant Gervasi,0.29
Casa,0,85,984000,2,0,Sarrià,0.072
Casa,0,132,850000,3,0,Sarrià,0.506
Casa,0,117,940000,3,0,Sant Gervasi,0.14
Casa,0,83,685000,2,0,Sant Gervasi,0.19
Casa,1,225,1390000,5,0,Sant Gervasi,0.208
Casa,1,232,1649999,5,0,Sant Gervasi,0.07
Casa,0,329,2200000,6,0,Sant Gervasi,0.252
Casa,0,150,695000,4,0,El Putxet,0.462
